"business_id","name","neighborhood","address","city","state","postal_code","latitude","longitude","stars","review_count","is_open","attributes","categories","hours"
"duHFBe87uNSXImQmvBh87Q","Blimpie","","4719 N 20Th St","Phoenix","AZ","85016","33.5059283","-112.0388474","4.5","10","0","{""RestaurantsTableService"":false,""GoodForMeal"":{""dessert"":false,""latenight"":false,""lunch"":false,""dinner"":false,""breakfast"":false,""brunch"":false},""Alcohol"":""none"",""Caters"":true,""HasTV"":false,""RestaurantsGoodForGroups"":true,""NoiseLevel"":""quiet"",""WiFi"":""no"",""RestaurantsAttire"":""casual"",""RestaurantsReservations"":false,""OutdoorSeating"":false,""BusinessAcceptsCreditCards"":true,""RestaurantsPriceRange2"":1,""BikeParking"":true,""RestaurantsDelivery"":false,""Ambience"":{""romantic"":false,""intimate"":false,""classy"":false,""hipster"":false,""divey"":false,""touristy"":false,""trendy"":false,""upscale"":false,""casual"":false},""RestaurantsTakeOut"":true,""GoodForKids"":true,""BusinessParking"":{""garage"":false,""street"":false,""validated"":false,""lot"":false,""valet"":false}}","[""Sandwiches"",""Restaurants""]","{}"
"HRFJlSAP_EBU_MpPPmpUDQ","Domino's Pizza","","25 W Warner Rd","Chandler","AZ","85225","33.3350578","-111.8430762","2.5","20","1","{""RestaurantsTableService"":false,""GoodForMeal"":{""dessert"":false,""latenight"":false,""lunch"":true,""dinner"":false,""breakfast"":false,""brunch"":false},""Alcohol"":""none"",""Caters"":false,""HasTV"":false,""RestaurantsGoodForGroups"":false,""NoiseLevel"":""quiet"",""WiFi"":""no"",""RestaurantsAttire"":""casual"",""RestaurantsReservations"":false,""OutdoorSeating"":false,""BusinessAcceptsCreditCards"":true,""RestaurantsPriceRange2"":1,""BikeParking"":false,""RestaurantsDelivery"":true,""Ambience"":{""romantic"":false,""intimate"":false,""classy"":false,""hipster"":false,""divey"":false,""touristy"":false,""trendy"":false,""upscale"":false,""casual"":false},""RestaurantsTakeOut"":true,""GoodForKids"":true,""BusinessParking"":{""garage"":false,""street"":false,""validated"":false,""lot"":false,""valet"":false}}","[""Chicken Wings"",""Sandwiches"",""Restaurants"",""Pizza""]","{""Monday"":""10:00-1:00"",""Tuesday"":""10:00-1:00"",""Friday"":""10:00-2:00"",""Wednesday"":""10:00-1:00"",""Thursday"":""10:00-1:00"",""Sunday"":""10:00-1:00"",""Saturday"":""10:00-2:00""}"
"FLTbKRmBytP1AbjWSPEeyw","Szechuan Cuisine","","5865 W Ray Rd","Chandler","AZ","85226","33.3187306943","-111.943387985","4.0","16","0","{""GoodForMeal"":{""dessert"":false,""latenight"":false,""lunch"":true,""dinner"":true,""breakfast"":false,""brunch"":false},""BusinessParking"":{""garage"":false,""street"":false,""validated"":false,""lot"":false,""valet"":false},""Caters"":true,""HasTV"":true,""RestaurantsGoodForGroups"":true,""NoiseLevel"":""quiet"",""RestaurantsAttire"":""casual"",""RestaurantsReservations"":true,""OutdoorSeating"":false,""BusinessAcceptsCreditCards"":true,""RestaurantsPriceRange2"":1,""RestaurantsTableService"":true,""RestaurantsDelivery"":false,""Ambience"":{""romantic"":false,""intimate"":false,""classy"":false,""hipster"":false,""divey"":false,""touristy"":false,""trendy"":false,""upscale"":false,""casual"":true},""RestaurantsTakeOut"":true,""GoodForKids"":true}","[""Restaurants"",""Chinese""]","{""Monday"":""11:00-21:00"",""Tuesday"":""11:00-21:00"",""Friday"":""11:00-22:00"",""Wednesday"":""11:00-21:00"",""Thursday"":""11:00-21:00"",""Sunday"":""11:00-21:00"",""Saturday"":""11:00-22:00""}"
"1AxEmgv8Dsr3iU9Aa40jPw","Nabers Music, Bar & Eats","","825 N 54th St","Chandler","AZ","85226","33.3162778","-111.9680183","4.0","75","0","{""BusinessParking"":{""garage"":false,""street"":false,""validated"":false,""lot"":true,""valet"":false},""HasTV"":true,""CoatCheck"":false,""NoiseLevel"":""average"",""OutdoorSeating"":true,""BusinessAcceptsCreditCards"":true,""RestaurantsPriceRange2"":2,""Music"":{""dj"":false,""background_music"":false,""no_music"":false,""karaoke"":false,""live"":true,""video"":false,""jukebox"":false},""BikeParking"":true,""Smoking"":""outdoor"",""Ambience"":{""romantic"":false,""intimate"":false,""classy"":false,""hipster"":false,""divey"":false,""touristy"":false,""trendy"":false,""upscale"":false,""casual"":true},""BestNights"":{""monday"":false,""tuesday"":false,""friday"":true,""wednesday"":true,""thursday"":false,""sunday"":false,""saturday"":true},""RestaurantsGoodForGroups"":true,""HappyHour"":true,""GoodForDancing"":true,""Alcohol"":""full_bar""}","[""Nightlife"",""Restaurants"",""Bars""]","{""Monday"":""11:00-0:00"",""Tuesday"":""11:00-0:00"",""Friday"":""11:00-2:00"",""Wednesday"":""11:00-0:00"",""Thursday"":""11:00-0:00"",""Sunday"":""11:00-0:00"",""Saturday"":""11:00-2:00""}"
"wJY74R0zAgjxvBf-d4gm9g","Kelly's At Southbridge","","7117 E 6th Ave","Scottsdale","AZ","85251","33.4987215","-111.9274506","3.5","224","1","{""RestaurantsTableService"":true,""GoodForMeal"":{""dessert"":false,""latenight"":true,""lunch"":false,""dinner"":true,""breakfast"":false,""brunch"":false},""DogsAllowed"":true,""Alcohol"":""full_bar"",""Caters"":false,""HasTV"":true,""RestaurantsGoodForGroups"":true,""NoiseLevel"":""loud"",""WiFi"":""free"",""RestaurantsAttire"":""casual"",""RestaurantsReservations"":true,""OutdoorSeating"":true,""BusinessAcceptsCreditCards"":true,""RestaurantsPriceRange2"":2,""BikeParking"":true,""RestaurantsDelivery"":false,""Ambience"":{""romantic"":false,""intimate"":false,""classy"":false,""hipster"":false,""divey"":false,""touristy"":false,""trendy"":false,""upscale"":false,""casual"":true},""RestaurantsTakeOut"":true,""GoodForKids"":false,""WheelchairAccessible"":true,""BusinessParking"":{""garage"":false,""street"":true,""validated"":false,""lot"":false,""valet"":false}}","[""American (New)"",""Restaurants""]","{""Monday"":""11:00-22:00"",""Tuesday"":""16:00-22:00"",""Friday"":""16:00-2:00"",""Wednesday"":""16:00-22:00"",""Thursday"":""16:00-23:00"",""Sunday"":""11:00-22:00"",""Saturday"":""11:00-2:00""}"
"G7QZWVm-ytyKHpvUq3ggFA","Sal's New York Pizzeria","South Side","1322 E Carson St","Pittsburgh","PA","15203","40.428624","-79.9843691","3.0","19","1","{""GoodForMeal"":{""dessert"":false,""latenight"":false,""lunch"":false,""dinner"":false,""breakfast"":false,""brunch"":false},""HasTV"":false,""RestaurantsGoodForGroups"":true,""RestaurantsAttire"":""casual"",""RestaurantsReservations"":false,""OutdoorSeating"":false,""BusinessAcceptsCreditCards"":true,""RestaurantsPriceRange2"":2,""RestaurantsTableService"":false,""RestaurantsDelivery"":true,""Ambience"":{""romantic"":false,""intimate"":false,""classy"":false,""hipster"":false,""divey"":false,""touristy"":false,""trendy"":false,""upscale"":false,""casual"":false},""RestaurantsTakeOut"":true,""GoodForKids"":true}","[""Restaurants"",""Pizza""]","{""Monday"":""16:00-3:00"",""Tuesday"":""16:00-3:00"",""Friday"":""16:00-4:00"",""Wednesday"":""16:00-3:00"",""Thursday"":""16:00-4:00"",""Sunday"":""16:00-3:00"",""Saturday"":""16:00-4:00""}"
"81sJG9LJ9ahscSNBUYYUGw","New P2K salon","Chinatown","5115 Spring Mountain Rd, Ste113","Las Vegas","NV","89146","36.1255374","-115.2112409","2.0","7","1","{""BusinessParking"":{""garage"":true,""street"":true,""validated"":false,""lot"":false,""valet"":false},""HairSpecializesIn"":{""coloring"":true,""africanamerican"":false,""curly"":true,""perms"":true,""kids"":false,""extensions"":false,""asian"":true,""straightperms"":false},""BusinessAcceptsCreditCards"":false,""RestaurantsPriceRange2"":2,""BikeParking"":false,""GoodForKids"":true,""ByAppointmentOnly"":false,""WheelchairAccessible"":true}","[""Hair Salons"",""Beauty & Spas""]","{""Monday"":""10:00-19:00"",""Tuesday"":""10:00-19:00"",""Friday"":""10:00-19:00"",""Wednesday"":""10:00-19:00"",""Thursday"":""10:00-19:00"",""Saturday"":""10:00-19:00""}"
"XFQbescZxNRAb2U-NwdLlg","Claim Jumper","","7000 E Shea Blvd","Scottsdale","AZ","85254","33.5826712","-111.929119","3.5","22","0","{""GoodForMeal"":{""dessert"":false,""latenight"":false,""lunch"":false,""dinner"":false,""breakfast"":false,""brunch"":false},""Alcohol"":""full_bar"",""Caters"":false,""HasTV"":false,""RestaurantsGoodForGroups"":true,""WiFi"":""no"",""RestaurantsAttire"":""casual"",""RestaurantsReservations"":true,""OutdoorSeating"":false,""BusinessAcceptsCreditCards"":true,""RestaurantsPriceRange2"":2,""RestaurantsTableService"":true,""RestaurantsDelivery"":false,""RestaurantsTakeOut"":true,""GoodForKids"":true,""WheelchairAccessible"":true,""BusinessParking"":{""garage"":false,""street"":false,""validated"":false,""lot"":true,""valet"":false}}","[""American (Traditional)"",""Restaurants""]","{""Monday"":""11:00-22:00"",""Tuesday"":""11:00-22:00"",""Friday"":""11:00-23:00"",""Wednesday"":""11:00-22:00"",""Thursday"":""11:00-22:00"",""Sunday"":""11:00-21:00"",""Saturday"":""11:00-23:00""}"
"MqhxKfI7oMjUTMqH2gnhyg","McDonald's","","1812 N Neil St","Champaign","IL","61820","40.1375686","-88.2430516","1.5","10","1","{""GoodForMeal"":{""dessert"":false,""latenight"":false,""lunch"":false,""dinner"":false,""breakfast"":false,""brunch"":false},""Alcohol"":""none"",""Caters"":false,""HasTV"":true,""RestaurantsGoodForGroups"":true,""RestaurantsAttire"":""casual"",""RestaurantsReservations"":false,""BusinessAcceptsCreditCards"":true,""RestaurantsPriceRange2"":1,""RestaurantsDelivery"":false,""Ambience"":{""romantic"":false,""intimate"":false,""classy"":false,""hipster"":false,""divey"":false,""touristy"":false,""trendy"":false,""upscale"":false,""casual"":false},""RestaurantsTakeOut"":false,""GoodForKids"":true,""DriveThru"":true,""BusinessParking"":{""garage"":false,""street"":false,""validated"":false,""lot"":false,""valet"":false}}","[""Fast Food"",""Restaurants"",""Burgers""]","{}"
"TYGVaav4hWZioQlk9Ig78A","Cody's Smokin' Barbecue","Downtown","1675 S Industrial Rd","Las Vegas","NV","89102","36.1510984","-115.1598044","4.5","70","0","{""RestaurantsTableService"":false,""GoodForMeal"":{""dessert"":false,""latenight"":false,""lunch"":true,""dinner"":true,""breakfast"":false,""brunch"":true},""Alcohol"":""full_bar"",""Caters"":true,""HasTV"":true,""RestaurantsGoodForGroups"":true,""NoiseLevel"":""average"",""WiFi"":""no"",""RestaurantsAttire"":""casual"",""RestaurantsReservations"":false,""OutdoorSeating"":true,""BusinessAcceptsCreditCards"":true,""RestaurantsPriceRange2"":2,""BikeParking"":true,""RestaurantsDelivery"":true,""Ambience"":{""romantic"":false,""intimate"":false,""classy"":false,""hipster"":false,""divey"":true,""touristy"":false,""trendy"":false,""upscale"":false,""casual"":false},""RestaurantsTakeOut"":true,""GoodForKids"":false,""BusinessParking"":{""garage"":false,""street"":false,""validated"":false,""lot"":true,""valet"":false}}","[""Restaurants"",""Barbeque""]","{""Friday"":""11:00-19:00"",""Tuesday"":""11:00-19:00"",""Thursday"":""11:00-19:00"",""Wednesday"":""11:00-19:00"",""Monday"":""11:00-19:00""}"
