"average_stars","compliment_cool","compliment_cute","compliment_funny","compliment_hot","compliment_list","compliment_more","compliment_note","compliment_photos","compliment_plain","compliment_profile","compliment_writer","cool","elite","fans","friends","funny","name","review_count","useful","user_id","yelping_since"
"3.94","1556","211","1556","1285","101","134","1295","162","2134","74","402","40110","[2014,2017,2011,2012,2015,2009,2013,2007,2016,2006,2010,2008]","835","[""U_sn0B-HWdTSlHNXIl_4XA"",""pnfVIB7UhvCQ7X2K0Q2XIw"",""jVYzrVblDFSuL3GHtt8ZSA"",""Z7bpqY89ZiBHXdo7UN1kiw"",""8Aqr35f254lOeitNowt7ig"",""zjcN27kCVeK8K2ONe9Qt4g"",""8drMKNHWavs2g6uf0pLtvg"",""_K2ViyfmVq6nzIitR0TIlg"",""rUV1FUhji5xMjNBpcq5SXg"",""yrGIgk5eaWy-eewLNv4KHQ"",""3Vd_ATdvvuVVgn_YCpz8fw"",""ebC_pH92K4uxyDenoXb5bg"",""RJrGgtBXkpX2oEHM4hSqXg"",""sdpIz4-s15T239CZ4Bd6Ag"",""A0j21z2Q1HGic7jW6e9h7A"",""AvC5XQAElcGAAn_Wr5auEg"",""JlkHKBnHKdK8Tpls0AF5Aw"",""8AG5MctcxTjP4svmUrt0yQ"",""bKxdvn7KpmWjMzlmBvp-Xw"",""VVMS74JyUk2h53yfC-xNsA"",""-ro7OG3jjCSKnF6OJinKjg"",""K7thO1n-vZ9PFYiC7nTR2w"",""pRBzWnFzaCEtqhYyJ2ZTDQ"",""nwESZ8e-KzXt2fKkOuRdIQ"",""WNZfkL4DBspueoGSUOMAqA"",""uU6fQWadr7Hx_MP0Vmy3kQ"",""XiLxIJThWsE0x4d0IeSPsg"",""Y9LBTbwO4g0BmdBIi0D3CA"",""jGbj8fl575EIQJcfaA1FKQ"",""nxWrhF_hyX0wwjrEkQX8uQ"",""670k6Gr6V4VqLIKtVEmDuQ"",""o5STsEtfvD1Ig0J7Z-1uxA"",""x13yoEggBL0pIE7-KMnhDQ"",""rCx7tb3toOJUsvdOeqYY0g"",""nkN_do3fJ9xekchVC-v68A"",""KzHRsFwryS7b5Fog8kkkGA"",""_pBzBgtCTN9PNUPfgPDI8A"",""PU5QaMADa6N_9ZoQ04ZjOw"",""FkfpHzqoDRChwOYhA6NPnQ"",""CaQy-zz10ajG7KkNSbXi5w"",""brQ7OjB6f9nXWGk45A9A3g""]","10882","Andrea","2559","83681","om5ZiponkpRqUNa3pVPiRg","2006-01-18"
"4.72","15","1","15","5","0","1","11","8","20","0","1","55","[]","17","[""Is1JljvhHG3G4O6-8PfznQ"",""c7KRpENpwni-RfjRNrYfRA"",""UwmtWzBdbi4AAJiuBrXrQA"",""VtiE3eXNYtH-tb0aFCF1Pw"",""fyg8Dw7BQ8X3Wria7-tHcQ"",""nzsv-p1O8gCfP3XijfQrIw"",""Q_5X6fW5FIpWWRcxn0kgHw"",""rCx7tb3toOJUsvdOeqYY0g"",""4RKq0POQ5jpToRkiiUvJLg"",""ghGiL52X6udHMxWgvKjRig"",""4bI4Iy6UCt9pWgOtaewbIw"",""qU7Ct1nJjLTtXc_J6YgsTA"",""_m3SyztWE_ji0wLxsL2Ycg"",""FKQ8VH1LV4zUaMA2rxMR-Q"",""Rdt-JiAN7Qlw3dJ7UVdNtw"",""DT5JuPKzBEyJCN3EwZV9KQ"",""UcBPZeyQz8XAQ71I0CQiZQ"",""yVwTKNsyh-QXbN9WVHEhww"",""WvntDWMQnaEV8agu3gcTug"",""ovR3JwcQFzY2syeDennbuw"",""c_tmM9PQnMDKPhO0-p4kIQ"",""Bv3Zt8seTtqks7PoriKvSw"",""WPcEBAbrPZxvCGlvH9XLsQ"",""8MCPA2HbOLScDu80ptHHjQ"",""NrSURtBigpxbdfL4nGB-Jg"",""RnOUzL2fXcRMGq7AZy9Ptw"",""3mhdWROwjuXm5RlH-VuwHg"",""JXt_vd2l_SkhFZdablieUg"",""lt4l-WFwdbiPuje7zYoOUQ"",""HpuBO4V0rzQOV05Dt-6hfQ"",""lWwlPEbkR-yUt057Oc_wjA"",""kX4ntfl1XnMAjnN1q6L1Ww"",""9FQn6DT1-0YSgRIbuc3xiA"",""oZ9NBQVAIXhTAUlUIPRBsQ"",""dxzENIwnxH6wnc6zueYnVA"",""03RJcIDcNwH4WQmqjIvwIw"",""4wP6hX4C8IVe82skYh36yg"",""L6nrDwHJDyV0KThjON-Kog"",""Z3AYjHqiFJccwaR9qUeOHQ"",""DNhHZ9R_Ogae85KEI2te3A"",""ucjiayTcI7l4HCAj2UJFTg""]","4","Gabe","277","45","-lGwMGHMC_XihFJNKCJNRg","2014-10-31"
"3.76","9","0","9","1","0","1","4","1","11","0","3","4","[2016,2017]","11","[""rYbYxbTST-kcYPUQS1X8pQ"",""FAyE91YAbvT097W0WgTc9A"",""GGTF7hnQi6D5W77_qiKlqg"",""pJHg-bdR2SLO_-r8FCLzEQ"",""jyoRTd9KbwzWI16gh8sdaA"",""ncvgNeEsAIAuMWYFN2blhg"",""0cHEkFahUqJiobK3vo8BbA"",""9J7ifUhXuHiW4hsWiMt6zA"",""wwEV66BaaGIiXerjrPMziQ"",""p9-z6WJh__SmnVJCaKYhBQ"",""Auh9MwD4DN4EfdQEcAKq_g"",""20yd50E-QxETaS6tq5Bmng"",""xCANz0ccZ9-WPJUk8oZr3g"",""PvV18yldpc2t35Ur2-FRqA"",""lWRva8Rz5LxgJZ1dk0dkRQ"",""fEFoxUYsq-v7SKUvRyFCpA"",""7KBajKL8V4U8y2ba4DhjOw""]","4","Leah","436","15","D-ydMTPGWXTVm4_jjp0k9g","2013-04-01"
"4.23","276","0","276","59","0","8","51","169","386","3","29","6006","[2017,2016]","49","[""B2HDoWNIzLlon0IhS1cmDw"",""3R_dB9VQ_D3WPJEw7pmorA"",""SNQcE_Bc0QAbxFu5F1dTzw"",""JQIZhoQB-Tg9hdBEj90m4g"",""8drMKNHWavs2g6uf0pLtvg"",""_jjbwHWLFA5GjWFWGLj4ZQ"",""I_hZOak13ydnfXV1nJPDTg"",""2Kjg_lEofeeD5cHsAQWoOQ"",""OdfdbmaWOBU4kZTtxaGzmA"",""kO_bMnI5PfNgMPd1QJlISg"",""c7KRpENpwni-RfjRNrYfRA"",""8SgjU2fID9VqKQooFt1DIQ"",""8R-yPVsE2bHDrY6xORQ5-A"",""2YBFcKEhPQbVNriiUeaR2Q"",""sOzeK0dE0BYx4Mc8dmoenQ"",""A0j21z2Q1HGic7jW6e9h7A"",""y_ltHb1MbiF1_JZyN_df_A"",""wTfb2nfzPIyFcYQArdPtuQ"",""Gfxb_D1k8tueAoGn4cseoA"",""RfqZhUKaKKRf_wkqWm1JsA"",""VtiE3eXNYtH-tb0aFCF1Pw"",""1dQiuUvvK8427TBmqj_4Vg"",""PcPminF0bIUsKjUh9e4DMQ"",""105tIg6brHiGDBXuGbbizA"",""H6HS5pZDrnc4HG7eWYz6nQ"",""J-ZMQMjMhoJ6oTDZ_Y-MNw"",""A21q3ZenowJP27kOgnUsGQ"",""iCkgHkZZIcSGK5yIxAZhGg"",""XiLxIJThWsE0x4d0IeSPsg"",""D43OWyfzIQjL8feJpYh2SQ"",""o5STsEtfvD1Ig0J7Z-1uxA"",""t-nB38eHbeFuabXBdJMwvg"",""-FZBTkAZEXoP7CYvRV2ZwQ"",""Hyli6YWc-0PxRAerObzZIQ"",""FkfpHzqoDRChwOYhA6NPnQ"",""_pBzBgtCTN9PNUPfgPDI8A"",""nT45X7F7-wOLgyMTm5mA1w"",""d8KR5c1ievS0C53h4fhEeQ"",""qCzx039NVrJkWnZEqQ1JKA"",""QVGpwHZXsGOgHmp8w-ipvw"",""3mNz5nQFTIBQm0oU5mBR0w""]","360","Juan","921","9152","PcvbBOCOcs6_suRDH7TSTg","2012-08-16"
"3.63","4","0","4","1","0","3","1","0","2","0","0","2","[]","3","[""vaNvEgtznFwSPDNkbM7hjA"",""tYPh3vjZsi5xMEA561mGpg"",""Yo6IEXd_96yXEAGmGx1A5Q"",""W3taqdZnz61XE-nIfUtoiw"",""ACwBMSJzgW6vOvV7vOrk8Q"",""-2OB54nQ6FsGLUM-R1KXnA"",""_IgGcM8Jo07KO5Iorm7lkQ"",""GsFr15zUG8wO9fsSHwvZUw"",""TYCkjEHPSJSnFb6m6GDluw"",""rCWrxuRC8_pfagpchtHp6A"",""75r2V9fE7R0cP9YtFMvsjA"",""pXFbXy_8S36V5kzicY15uQ"",""xwecV1wwnA_2oZH0GkpZOw"",""4wp4XI9AxKNqJima-xahlg"",""BjtJ3VkMOxV2Lan037AFuw"",""Lfv4hefW1VbvaC2gatTFWA""]","11","Whitney","184","141","g3V76Ja0XgWS1rqx0gxL_A","2007-09-11"
"4.1","1302","41","1302","806","20","46","725","106","3159","35","220","19108","[2016,2014,2015,2017,2012,2011,2013]","435","[""zvQ7B3KZuFOX7pYLsOxhpA"",""jVYzrVblDFSuL3GHtt8ZSA"",""53-0CIUo-pd5ysfvHXb2yQ"",""rUV1FUhji5xMjNBpcq5SXg"",""EhwkndclyZHev3v9wo9K4A"",""AvC5XQAElcGAAn_Wr5auEg"",""p6RurvWCPEqR8PP4siwiVA"",""8k3aO-mPeyhbR5HUucA5aA"",""XiLxIJThWsE0x4d0IeSPsg"",""9eKk90OB9wKDacTDyYvFWg"",""nxWrhF_hyX0wwjrEkQX8uQ"",""o5STsEtfvD1Ig0J7Z-1uxA"",""rCx7tb3toOJUsvdOeqYY0g"",""-FZBTkAZEXoP7CYvRV2ZwQ"",""nkN_do3fJ9xekchVC-v68A"",""FkfpHzqoDRChwOYhA6NPnQ"",""u8WIVYVQxiAFJWLdjJNkIQ"",""knpA_cWtCuOYW7KHCvL5uA"",""K2VZMLykxnctDXWgO23lJg"",""USZx-55MA2-lG2hBu6PWJA"",""x7BkijI2WO-Oi43QKUBSjA"",""LemDESTKgAfeTiHOaE08jg"",""wd3xoNaDLib8dhQ7BxUl6g"",""lIFrkMakE6IbHa_Cw-us5w"",""Q5vRxZojoN7T-LVTMtXKKg"",""CIZGlEw-Bp0rmkP8M6yQ9Q"",""TiPH2ZwSX53uK7IvFSHVYg"",""6l7VXFVWb79Cv0vezDvq2Q"",""ICwMfseYkrB0ZEK8tDUOHw"",""gvOuN8PAUJHOfbO03dOgUA"",""St-BJl91Y8k1MUborKBRhA"",""Ito13b3aPr_8MSCQkfr7NQ"",""ic-tyi1jElL_umxZVh8KNA"",""UQFE3BT1rsIYrcDvu_XVow"",""ITa3vh5ERI90G_WP4SmGUQ"",""u3ZPMVVEzneq8x856WksJQ"",""aIJ-2R1q5G7oqzBSgK_Vvw"",""U39tz4YSeYNOJ_CMxVWZtQ"",""QdfFtp430K_-BP1GTPNnDg"",""M9rRM6Eo5YbKLKMG5QiIPA"",""EjTuHWrmBJcxJM6XoKsAeQ""]","4880","Risa","1122","26395","Wc5L6iuvSNF5WGBlqIO8nw","2011-07-30"
"3.87","34","2","34","9","0","3","12","2","21","2","10","150","[]","33","[""ACwN_B8nl4yJ4FlqCGR9yg"",""jtM-lajwSwW65wJRaMuFxg"",""D43OWyfzIQjL8feJpYh2SQ"",""RdMD77Uwe8Mjy_EptbPa3g"",""dIEzFK3EzUdPVRXRO8nekw"",""xVv_pVxAcOfY_xBjBhF4Vw"",""o5STsEtfvD1Ig0J7Z-1uxA"",""yV5GOIgaB2U2ilb7kj1ybg"",""ArlhyXiW-G77V4-UA-OJmA"",""T2_RfLMqw8v_UbObfvP1xw"",""yZ5MJlDUQ_ADaVL-JA4aWw"",""uaFOvyGPRvSETSS6Lk8-5A"",""DyGjPveXMndYLRcKllBc3w"",""JcNSd3dXmIMVHP2CUpvMHA"",""5oQ-deR4uSGOHy8na2NGRQ"",""kAyzesFJfcymc48S8KpR9g"",""VmzU_KLtfT_rtRdq6Aw_xQ"",""uz1_cds7yyehTPYnrArdYA"",""iYP8VvWg8SEcqsfq22NqGQ"",""MeDuKsZcnI3IU2g7OlV-hQ"",""6H4Zj-c7FqM9mCsXvwaEQw"",""eeYHH97Ou1i8EID8rPV_kA"",""8DEyKVyplnOcSKx39vatbg"",""bzU8Cl6B9nqV1i5NReobvw"",""KQm9OgdujLZiMRTksmj83w"",""JR7AYVUJ1_Nq36UBW3XHYw"",""1ACswbuEkkuuJW9Ct5XfzQ"",""A5A34ixb-yy6nwL42iZsnw"",""9S6Wrw-PW5eWiix8mGfu4w"",""3tLPT5PzOemSed-ERxwSQg"",""i_DR3vdE73nVm2GlMbGpGA"",""ozYNJb45ijhpwTJslKquww"",""TitajCNNiQAnH_3VTp7gtQ"",""tgsXCq4h-jagWFFXLF3WyQ"",""ztLG7-iFdCeIFi5YBjYuww"",""eXVdbhzZGvIVbqVJzP2bxQ"",""B0NEUzIXpAVBqFh2XYxfIQ"",""VGbw3AmOYkNgn2VkUNWCfQ"",""5vJE4ploStTJHi3PH0YqIA"",""7ejIjaMXl-Eypaptd-ibdg"",""i8hVR5g7so9mOSOfOKU-Sg""]","93","Nikki","100","254","UUVbV8XmTzNksBOPaiO3pA","2012-02-22"
"3.79","1139","87","1139","782","54","103","391","113","1455","31","286","45234","[2012,2008,2009,2010,2007,2006,2013,2011]","198","[""2DOMvJe5EfvSHrKaOH-tTQ"",""r0YQhP1Z8xiPNebQ20Hu-g"",""EhwkndclyZHev3v9wo9K4A"",""nzsv-p1O8gCfP3XijfQrIw"",""WO-vigZE9tyaztYX72rf-g"",""MiivCWuxD5gm29HAjYVciQ"",""WrYq_Xs84Q7zm_pbn192Dw"",""5DgFmyjW6hkBtXtTMKl4tA"",""nxWrhF_hyX0wwjrEkQX8uQ"",""mQ5bv7uCuFiHTIHCzT3Tyw"",""qAQjfwspeg9WvCewHLrxOQ"",""_8Q_TBpMw8BPGRJKxAal8Q"",""gfHU-4ZzhMwdtBwu3NALWQ"",""Z_BErhQKAfWSQM6KACy3Pg"",""n45pqe8LP7NaPKiXBBiM8w"",""vDzJZHf1uF63LoG0DFZn2w"",""SFBfsySKt-Rb5aBovef78w"",""ZKupEjeUTNxSMaf6ex-Tog"",""qr45KuJh0yWsawbb467acA"",""CHsHiPLuoE1KmbeXGk1tjA"",""KT2EgE1Nv_-Ms8olYxEuFw"",""s9NmTncEz-Hi66M2v0-ZPA"",""TGNFhYHYk4Oi8jHgy9jSNg"",""hizGc5W1tBHPghM5YKCAtg"",""yh8_9Ix1wp9dekvyOZbilQ"",""nbCTxeII8DAB__LG-6aU3A"",""Thc2zV-K-KLcvJn3fMPdqQ"",""hpw7UrWf51aaWKbaGGJ2hA"",""cuhDjaxd6IKEa4KpW6H1kg"",""NXRuAlEuz7hcL9lbbfrc9A"",""TVv2iLCJ2PjjgEKXIBZMRg"",""ACUVZ4SiN0gni7dzVDm9EQ"",""t2LoCqGXkr5mPtu2a336SA"",""yLW8OrR8Ns4X1oXJmkKYgg"",""soXCrtlQ3_z_kBC7OrT-_Q"",""5DV8mLIYmC8qb-kez2rkZA"",""M7XG8259yfQ9GcsySDs81Q"",""NNgQ8fV5ARQgHw-Ob7l50A"",""3sUCV4tlUbpZgYgUbzKynA"",""RL2fV7JSCkRJyFUUz1qqsw"",""b6vUzi_F-qF7HEc0aY_IDw""]","10715","Holly","698","24047","Dd-TkEszFMkSF-vRih51fQ","2006-07-03"
"3.97","210","38","210","201","5","14","53","24","128","19","126","37","[2017,2010,2014,2009,2016,2011,2007,2015,2013,2012]","253","[""BMemw48ent0pHRLiHZnEVA"",""0JgjdJUgsMxh8U9-RWSomw"",""vPXuKul3kI4t4G4QgQ9_HQ"",""TiPH2ZwSX53uK7IvFSHVYg"",""ElxoM6w2NxZp6amnFUok8Q"",""St-BJl91Y8k1MUborKBRhA"",""TBkuqWSr8GXg-8PCdwTwAQ"",""auqT9Pk-wK4JNv2olVU8Cg"",""e8polunsuEuRRMIL1kEjDw"",""NfU0zDaTMEQ4-X9dbQWd9A"",""4SzBoG7EbYhsynUNXyDB1w"",""BQFRRP3Du-ZWgn9hZgiJhA"",""_tU3EtfNaBc1ZgArhlJmZw"",""0urwb36g7nQiTwGkXYQzZA"",""Wm2VNSNKXilGrwApVpO0NQ"",""NIeLhx7kQ7KROhH2zs5qYw"",""4EQSMqnhbRRMdWeGefRVag"",""9unlBkftcCxEuOzPliukQw"",""Q2VujM_tGLPzXdHdUMKxrg"",""G9Vb6yQ047TC3O_-GG4WZA"",""F_5_UNX-wrAFCXuAkBZRDw"",""e0lV0WyRCYbYs9k6chh8YA"",""RV5GYdOOLb8QG5Gk7pKG1Q"",""Q_8qAEFkzrzTVAJhLsxmBg"",""vRjVhl3ONG2GfWY4NXJZbQ"",""MuhUC0v3qBBTj6D2DO0H_w"",""acPFDB6xB5qtcwTCI2wLvg"",""H0dcRn1hFg2BNOs1S-Np2A"",""mOeYi3nEDnGhnD-oPedhjQ"",""WPl2gULxrrh_GoypMzHF-A"",""e4db8XgxP3i-7eBNtmDYkA"",""cAmd-fttNSq-8zgreIy2YQ"",""JnGtgOPpkjyWOvWM0SYEXg"",""5H0-btP3sBURUyrAL6dTEg"",""4Y81J2Tdq5XAnkeYmCZ2ow"",""zhaXi9u8QGtQfbIkNv3OsQ"",""dR9OiTIjuzvDdoqjuulKrw"",""gfR80SvOyWL45S8vPMZxNw"",""nO_5OkDDWYHe_GE6iYQa1w"",""gCEyrWhpg4NlfQjS-P_YDQ"",""OTQ15oAzbeum9ZHCn5vAiQ""]","32","Veronica","1409","69","ibvH1Y7Rh_tstiWgH0OFTA","2007-05-01"
"4.14","5","0","5","2","0","0","7","0","7","0","1","204","[2015,2016,2017,2014]","13","[""SsgDGJWBNvefjY0z8XsVCQ"",""kSyhGgF0uuFDleLcgyTSgw"",""GmQR50bIII7gDNRYEgfXfA"",""P1IQm0Rr5eA9VvmV5HYGVA"",""xywXoLnG7qWIayFu8oZQgQ"",""6RmQrbINxXfLztb9x4IZBw"",""rP5VQLTqr9dohpyryRpaxA"",""4ZfcCa4m5RWvO4EFzfYm1A"",""Z3208aKV0c-sgXZ4LNW42g"",""KXZ8A8h7Q9ZJRU5TM9asjw"",""jc3jhh2iQ1dPnT7rPI5xvg"",""8IHSMAQjYlukgj9lfn8nZg"",""1kdfj_PaRk8i870ghdIvXg"",""aqs1fjYP4xzRy6QPynDSDQ"",""nZpSxSHct3faGgonk0nmdw"",""VI1OV-5CePE1X3Sb85dVTg"",""L7VEJP1RrpXRRRWsYIu3tA"",""RL2fV7JSCkRJyFUUz1qqsw"",""6l7VXFVWb79Cv0vezDvq2Q"",""PJwyYfwsI0CJto1eYxuKtA"",""8DEyKVyplnOcSKx39vatbg"",""d1dPI4PT0cLZMgEAvbCJMQ"",""evDmfYHbxqDAy8_27bAUNg"",""N1eblziJZ5N4OcO2HYWZFA"",""9lXgNWJQbGO6Qpj_ZCBnkg""]","199","Jeff","134","258","tjufYqU4PWkP2j6vAFsCFw","2011-04-03"
